,Date,AAPL Open (USD),AAPL High (USD),NDAQ Open (USD)
0,2016-09-30,28.115,28.342501,5288.870117
1,2016-10-03,28.1775,28.262501,5300.290039
2,2016-10-04,28.264999,28.577499,5313.490234
3,2016-10-05,28.35,28.415001,5305.279785
4,2016-10-06,28.424999,28.584999,5306.589844
5,2016-10-07,28.577499,28.639999,5314.919922
6,2016-10-10,28.754999,29.1875,5318.459961
7,2016-10-11,29.424999,29.672501,5321.819824
8,2016-10-12,29.3375,29.495001,5247.910156
9,2016-10-13,29.1975,29.360001,5200.299805
10,2016-10-14,29.469999,29.5425,5241.259766
11,2016-10-17,29.3325,29.459999,5213.689941
12,2016-10-18,29.545,29.5525,5255.319824
13,2016-10-19,29.3125,29.440001,5240.330078
14,2016-10-20,29.215,29.344999,5238.200195
15,2016-10-21,29.202499,29.227501,5238.649902
16,2016-10-24,29.275,29.434999,5290.310059
17,2016-10-25,29.487499,29.59,5306.470215
18,2016-10-26,28.577499,28.924999,5256.399902
19,2016-10-27,28.8475,28.965,5272.189941
20,2016-10-28,28.467501,28.8025,5203.700195
21,2016-10-31,28.4125,28.557501,5205.089844
22,2016-11-01,28.365,28.442499,5199.77002
23,2016-11-02,27.85,28.0875,5147.279785
24,2016-11-03,27.745001,27.865,5104.700195
25,2016-11-04,27.1325,27.5625,5034.410156
26,2016-11-07,27.52,27.627501,5128.990234
27,2016-11-08,27.577499,27.93,5154.990234
28,2016-11-09,27.469999,27.83,5143.859863
29,2016-11-10,27.772499,27.772499,5283.47998
30,2016-11-11,26.780001,27.217501,5191.819824
31,2016-11-14,26.9275,26.952499,5246.330078
32,2016-11-15,26.6425,26.92,5241.350098
33,2016-11-16,26.674999,27.557501,5253.740234
34,2016-11-17,27.452499,27.5875,5295.069824
35,2016-11-18,27.43,27.635,5340.970215
36,2016-11-21,27.530001,27.997499,5336.779785
37,2016-11-22,27.987499,28.105,5384.75
38,2016-11-23,27.84,27.877501,5366.549805
39,2016-11-25,27.782499,27.967501,5388.490234
40,2016-11-28,27.8575,28.1175,5387.919922
41,2016-11-29,27.695,28.0075,5370.97998
42,2016-11-30,27.9,28.049999,5391.350098
43,2016-12-01,27.592501,27.735001,5323.879883
44,2016-12-02,27.2925,27.522499,5249.02002
45,2016-12-05,27.5,27.5075,5283.580078
46,2016-12-06,27.375,27.59,5317.740234
47,2016-12-07,27.315001,27.797501,5322.669922
48,2016-12-08,27.715,28.1075,5394.149902
49,2016-12-09,28.077499,28.674999,5436.109863
50,2016-12-12,28.3225,28.75,5428.220215
51,2016-12-13,28.459999,28.98,5433.569824
52,2016-12-14,28.76,29.049999,5465.689941
53,2016-12-15,28.844999,29.182501,5443.509766
54,2016-12-16,29.1175,29.125,5467.819824
55,2016-12-19,28.950001,29.344999,5441.200195
56,2016-12-20,29.184999,29.375,5473.529785
57,2016-12-21,29.200001,29.35,5482.629883
58,2016-12-22,29.0875,29.127501,5472.009766
59,2016-12-23,28.897499,29.129999,5441.759766
60,2016-12-27,29.129999,29.450001,5470.759766
61,2016-12-28,29.379999,29.504999,5497.439941
62,2016-12-29,29.112499,29.2775,5437.509766
63,2016-12-30,29.1625,29.299999,5440.169922
64,2017-01-03,28.950001,29.0825,5425.620117
65,2017-01-04,28.9625,29.127501,5440.910156
66,2017-01-05,28.98,29.215,5474.390137
67,2017-01-06,29.195,29.540001,5499.080078
68,2017-01-09,29.487499,29.8575,5527.580078
69,2017-01-10,29.692499,29.844999,5536.540039
70,2017-01-11,29.684999,29.9825,5550.720215
71,2017-01-12,29.725,29.825001,5542.560059
72,2017-01-13,29.7775,29.905001,5557.569824
73,2017-01-17,29.584999,30.059999,5555.160156
74,2017-01-18,30.0,30.125,5546.939941
75,2017-01-19,29.85,30.022499,5560.609863
76,2017-01-20,30.112499,30.112499,5556.870117
77,2017-01-23,30.0,30.202499,5546.640137
78,2017-01-24,29.887501,30.025,5568.27002
