,Date,AAPL Open (USD),AAPL High (USD),AAPL Low (USD),AAPL Close (USD),AAPL Adj. Close (USD),AAPL Volume (Number of Shares),NDAQ Open (USD),NDAQ High (USD),NDAQ Low (USD),NDAQ Close (USD),NDAQ Adj. Close (USD),NDAQ Volume (Number of Shares)
0,2016-09-30,28.115,28.342501,27.950001,28.262501,26.202574,145516400,5288.870117,5325.879883,5277.879883,5312.0,5312.0,2063260000
1,2016-10-03,28.1775,28.262501,28.07,28.129999,26.079731,86807200,5300.290039,5308.600098,5281.950195,5300.870117,5300.870117,1606460000
2,2016-10-04,28.264999,28.577499,28.157499,28.25,26.190987,118947200,5313.490234,5323.600098,5271.700195,5289.660156,5289.660156,1711810000
3,2016-10-05,28.35,28.415001,28.172501,28.262501,26.202574,85812400,5305.279785,5330.810059,5304.060059,5316.02002,5316.02002,1755640000
4,2016-10-06,28.424999,28.584999,28.282499,28.4725,26.397268,115117200,5306.589844,5315.72998,5281.470215,5306.850098,5306.850098,1655480000
5,2016-10-07,28.577499,28.639999,28.377501,28.514999,26.436672,97433600,5314.919922,5315.649902,5266.799805,5292.399902,5292.399902,1647330000
6,2016-10-10,28.754999,29.1875,28.68,29.012501,26.897915,144944000,5318.459961,5340.52002,5317.72998,5328.669922,5328.669922,1365600000
7,2016-10-11,29.424999,29.672501,29.049999,29.075001,26.95586,256164000,5321.819824,5321.819824,5227.430176,5246.790039,5246.790039,1822980000
8,2016-10-12,29.3375,29.495001,29.1875,29.334999,27.196909,150347200,5247.910156,5257.180176,5228.77002,5239.02002,5239.02002,1567930000
9,2016-10-13,29.1975,29.360001,28.93,29.245001,27.113462,140769600,5200.299805,5228.259766,5169.759766,5213.330078,5213.330078,1737720000
10,2016-10-14,29.469999,29.5425,29.282499,29.407499,27.264122,142608800,5241.259766,5258.879883,5213.370117,5214.160156,5214.160156,1593610000
11,2016-10-17,29.3325,29.459999,29.195,29.387501,27.245581,94499600,5213.689941,5219.97998,5196.029785,5199.819824,5199.819824,1427060000
12,2016-10-18,29.545,29.5525,29.362499,29.3675,27.227039,98214000,5255.319824,5264.27002,5239.439941,5243.839844,5243.839844,1476970000
13,2016-10-19,29.3125,29.440001,28.450001,29.280001,27.145914,80138400,5240.330078,5253.830078,5234.25,5246.410156,5246.410156,1548910000
14,2016-10-20,29.215,29.344999,29.0825,29.264999,27.132002,96503200,5238.200195,5252.100098,5216.049805,5241.830078,5241.830078,1745270000
15,2016-10-21,29.202499,29.227501,29.07,29.15,27.025387,92770800,5238.649902,5259.129883,5225.759766,5257.399902,5257.399902,1651490000
16,2016-10-24,29.275,29.434999,29.25,29.4125,27.268753,94154800,5290.310059,5311.5,5289.22998,5309.830078,5309.830078,1533370000
17,2016-10-25,29.487499,29.59,29.327499,29.5625,27.407825,192516000,5306.470215,5310.27002,5278.569824,5283.399902,5283.399902,1580830000
18,2016-10-26,28.577499,28.924999,28.327499,28.897499,26.791292,264536800,5256.399902,5280.850098,5237.049805,5250.27002,5250.27002,1732300000
19,2016-10-27,28.8475,28.965,28.525,28.620001,26.534016,138248000,5272.189941,5274.120117,5211.75,5215.970215,5215.970215,1926820000
20,2016-10-28,28.467501,28.8025,28.362499,28.43,26.357864,151446800,5203.700195,5232.350098,5178.759766,5190.100098,5190.100098,1911810000
21,2016-10-31,28.4125,28.557501,28.299999,28.385,26.316153,105677600,5205.089844,5206.709961,5186.560059,5189.140137,5189.140137,1709060000
22,2016-11-01,28.365,28.442499,27.6325,27.872499,25.840994,175303200,5199.77002,5201.129883,5112.319824,5153.580078,5153.580078,1880920000
23,2016-11-02,27.85,28.0875,27.807501,27.897499,25.864172,113326800,5147.279785,5156.700195,5097.560059,5105.569824,5105.569824,2124990000
24,2016-11-03,27.745001,27.865,27.387501,27.4575,25.586946,107730400,5104.700195,5115.060059,5053.52002,5058.410156,5058.410156,2113730000
25,2016-11-04,27.1325,27.5625,27.0275,27.209999,25.356308,123348000,5034.410156,5087.509766,5034.410156,5046.370117,5046.370117,2020130000
26,2016-11-07,27.52,27.627501,27.365,27.602501,25.722067,130240000,5128.990234,5169.410156,5122.77002,5166.169922,5166.169922,1916620000
27,2016-11-08,27.577499,27.93,27.424999,27.764999,25.873501,97016800,5154.990234,5214.169922,5145.299805,5193.490234,5193.490234,1739440000
28,2016-11-09,27.469999,27.83,27.012501,27.719999,25.831562,236705600,5143.859863,5258.990234,5143.859863,5251.069824,5251.069824,2827570000
29,2016-11-10,27.772499,27.772499,26.4575,26.9475,25.111689,228538000,5283.47998,5302.680176,5145.319824,5208.799805,5208.799805,2986760000
30,2016-11-11,26.780001,27.217501,26.637501,27.1075,25.260788,136575600,5191.819824,5241.080078,5179.640137,5237.109863,5237.109863,2290080000
31,2016-11-14,26.9275,26.952499,26.02,26.4275,24.627111,204702000,5246.330078,5247.169922,5192.049805,5218.399902,5218.399902,2371900000
32,2016-11-15,26.6425,26.92,26.540001,26.7775,24.95327,129058000,5241.350098,5287.060059,5236.25,5275.620117,5275.620117,2159180000
33,2016-11-16,26.674999,27.557501,26.65,27.497499,25.624216,235362000,5253.740234,5299.629883,5251.879883,5294.580078,5294.580078,2066130000
34,2016-11-17,27.452499,27.5875,27.2075,27.487499,25.614899,110528000,5295.069824,5334.049805,5288.160156,5333.970215,5333.970215,2084710000
35,2016-11-18,27.43,27.635,27.415001,27.514999,25.640528,113715600,5340.970215,5346.799805,5315.529785,5321.509766,5321.509766,1865770000
36,2016-11-21,27.530001,27.997499,27.502501,27.932501,26.029591,117058400,5336.779785,5369.830078,5334.160156,5368.859863,5368.859863,1748170000
37,2016-11-22,27.987499,28.105,27.85,27.950001,26.045898,103862000,5384.75,5392.259766,5365.600098,5386.350098,5386.350098,1890410000
38,2016-11-23,27.84,27.877501,27.5825,27.807501,25.913103,109705600,5366.549805,5380.680176,5350.680176,5380.680176,5380.680176,1617700000
39,2016-11-25,27.782499,27.967501,27.737499,27.9475,26.043568,45903600,5388.490234,5398.919922,5379.279785,5398.919922,5398.919922,768080000
40,2016-11-28,27.8575,28.1175,27.8475,27.8925,25.992311,108776000,5387.919922,5396.27002,5364.910156,5368.810059,5368.810059,1630150000
41,2016-11-29,27.695,28.0075,27.5175,27.865,25.966684,114115200,5370.97998,5403.859863,5360.560059,5379.919922,5379.919922,1791760000
42,2016-11-30,27.9,28.049999,27.567499,27.629999,25.74769,144649200,5391.350098,5393.149902,5323.680176,5323.680176,5323.680176,2056060000
43,2016-12-01,27.592501,27.735001,27.2575,27.372499,25.507736,148347600,5323.879883,5326.339844,5238.209961,5251.109863,5251.109863,2269790000
44,2016-12-02,27.2925,27.522499,27.2125,27.475,25.603254,106112000,5249.02002,5274.540039,5239.27002,5255.649902,5255.649902,1851030000
45,2016-12-05,27.5,27.5075,27.0625,27.2775,25.41921,137298000,5283.580078,5321.089844,5269.569824,5308.890137,5308.890137,1800570000
46,2016-12-06,27.375,27.59,27.297501,27.487499,25.614899,104782000,5317.740234,5333.990234,5299.939941,5333.0,5333.0,1977480000
47,2016-12-07,27.315001,27.797501,27.290001,27.7575,25.866503,119994800,5322.669922,5397.930176,5307.310059,5393.759766,5393.759766,2125370000
48,2016-12-08,27.715,28.1075,27.65,28.030001,26.120441,108273200,5394.149902,5425.52002,5389.100098,5417.359863,5417.359863,2236580000
49,2016-12-09,28.077499,28.674999,28.077499,28.487499,26.546776,137610400,5436.109863,5450.160156,5427.120117,5444.5,5444.5,2042340000
